filename, Labels, Web, Text
AW_04_F.png,Font Parallel,PaperTitle pagePoetryLineFontAnglePageTitle,CERTAIN NOBLE PLAYS OF JAPANFENOLLOSA  CHOSEN AND FINTSHEDBY EZRA POUND  WITH AN INTRODUCTION BY WILL.IAM BUYLER YEATSTHE CUALA PRESSCHURCHTOWNDUNDAUMMCMXVICERTAINNOBLEPLAYSOFJAPANFENOLLOSA CHOSENANDFINTSHEDBYEZRAPOUND WITHANINTRODUCTIONBYWILL.IAMBUYLERYEATSTHECUALAPRESSCHURCHTOWNDUNDAUMMCMXVI
AW_05_F.png,Sculpture Stone carving Relief Carving Statue Classical sculpture Art Artifact Figurine Stele,StatueArtifact MSculptureClassical sculptureFigurineCarvingAncient historyHistory,
AW_06_F.png,Sculpture Stone carving Statue Figurine Art Carving Artifact Elephant,StatueArtifact MSculptureArchaeological siteClassical sculptureFigurineArchaeologyHistoryCarvingAncient history,Kodak17 18 19Kodak171819
AW_07_F.png,Technology Fictional character Electronic device Fiction Flesh Games Abdomen,KadambariAmar Chitra KathaKadambariNovelBookPublishingNarrativeAmazon KindleLiterature,KADAMBARIANADAFARON OF &ANAATA'S SANSKT CLASSCKADAMBARIANADAFARONOF&ANAATA'SSANSKTCLASSC
AW_08_F.png,Text Line Font Parallel,MusicBlack & White - MDocumentLine,SomaderaehaTHEKATHA SARIT SAGARAOROCEAN OF THE STREAMS OF STORYTRANSLATED FROM THEORIGINAL SANSKRITBYC.H. TAWNE Y  M. A.VOLUME I.CALCUTTABAPTIST MISSION PRESSPRINTED BY J. W. THOMAS  AT THIEтно1880SomaderaehaTHEKATHASARITSAGARAOROCEANOFTHESTREAMSOFSTORYTRANSLATEDFROMTHEORIGINALSANSKRITBYC.H.TAWNEY M.A.VOLUMEI.CALCUTTABAPTISTMISSIONPRESSPRINTEDBYJ.W.THOMAS ATTHIEтно1880
AW_09_F.png,Text Font Line Parallel,DocumentBlack & White - MLine,The Bepartment of Public Enstruction  Bombay.KADAMBARIEDITED BYPETER PETERSON  M.A. HE ELPHINSTONE COLLEGE  BOMBAY PROFESSOR OF SANSKRITIN TLATE BODEN SANSKRIT SCHOLAR OF THE UNIVERSITY OF OxFORD.Registered under Act XXV. of 18675423ombay:GOVERNMENT CENTRAL BOOK DEPÓT 1883.[All rights reserved.]TheBepartmentofPublicEnstruction Bombay.KADAMBARIEDITEDBYPETERPETERSON M.A. HEELPHINSTONECOLLEGE BOMBAY PROFESSOROFSANSKRITINTLATEBODENSANSKRITSCHOLAROFTHEUNIVERSITYOFOxFORD.RegisteredunderActXXV.of18675423ombay:GOVERNMENTCENTRALBOOKDEPÓT 1883.[Allrightsreserved.]
BCG_01_F.png,Games Recreation,CountertopStamped concreteConcreteSinkConcrete CountertopsColorGamePrecast concreteConcrete mix design,00
BCG_02_F.png,Red Games Font Technology Electronic device Recreation Card game,Apples to ApplesCard gameGameFontPlaying card,Encompassingstyles such as westernswing  honky-tonkbluegrass and rockabillyShould mentiona pickuptruck and a dognamed "BoJennThe InternetCasinosSkydivingBarbed WireCountry MusicEncompassingstylessuchaswesternswing honky-tonkbluegrassandrockabillyShouldmentionapickuptruckandadognamed"BoJennTheInternetCasinosSkydivingBarbedWireCountryMusic
BCG_03_F.png,Text Font Material property Brand Paper,FontBrand,Here is the steepleOpen the doorsHere is the churchAn argument withRichard Dawkins.And there isCards Against HumanityHereisthesteepleOpenthedoorsHereisthechurchAnargumentwithRichardDawkins.AndthereisCardsAgainstHumanity
BCG_04_F.png,Games Recreation Indoor games and sports Play Learning Board game Tabletop game,Board gameGameTabletop Games & ExpansionsDominoesMonopolyLove LetterDixitPlaying cardMiniature wargaming,
BCG_05_F.png,Games Recreation Rectangle,ScrabbleGameMicrosoft Classic Board GamesBoard gameWords with FriendsWordfeudVideo GamesChessWord game,SCRABBLEGAMECROSS0.0.0O.w. oMBLX LIT EAURADDLESCRABBLEGAMECROSS0.0.0O.w.oMBLXLITEAURADDLE
BCG_06_F.png,Electronics Map Technology Parallel Games,Ticket to RideBoard gameGameCarcassonneSmall WorldTicket to RideHearthstoneVideo GamesDays of Wonder,Basic Botect BotNebulous BotWinnIPEGSAULT SMaRГовоптоDULUTHnaPITCHICAGOOmAHADENVERSamT LoUsKansasCITYnasuVILLEОKLAHOMACITYATLARTASanTA FtLITTLE ROCKDRLLASEL PasonewORLEARSHouSTon2BasicBotectBotNebulousBotWinnIPEGSAULTSMaRГовоптоDULUTHnaPITCHICAGOOmAHADENVERSamTLoUsKansasCITYnasuVILLEОKLAHOMACITYATLARTASanTAFtLITTLEROCKDRLLASELPasonewORLEARSHouSTon2
BCG_07_F.png,Games Indoor games and sports Recreation Board game Tabletop game Play World Leisure,PandemicBoard gameGameZ-Man GamesPrototypePlayKing of TokyoHerní plánZ-Man Games,NFECTION RATECEPIDEMICwwEPIDEMICNARTDeherKhatstanda teLos AlNDEMICOUTBREAKSNFECTIONRATECEPIDEMICwwEPIDEMICNARTDeherKhatstandateLosAlNDEMICOUTBREAKS
BCG_08_F.png,Yellow,YellowFont,KAMCHATKKAMCHATK
FUAB_01_F.png,Floor plan Toy Space Rectangle Square Games,Bullet Proof VestsCeramicS.T.A.L.K.E.R.: Shadow of ChernobylSpecial Operations ForcesRussiaProduct designGSC Game WorldDesign,
FUAB_02_F.png,Games Technology Font Electronic device Recreation,GameVideo GamesFont,GUIDINGLIGHTwwwANXIETY DIVERTINGNIGHT TIME OOMFORTMONSTRESSeRODUCTIONGsee reverse for detalsuINSTANTOLLABORATIVEPTUREMONTE mFREE LOVECALENDER STICKER SET INSIDEPleaseONE FULL YEAROFLOVEPAUNETA4Eand onlyEETMBLESTALYST!CALENDERwww.MONINSPE12 BONUS WILD CARD DAYSOvous eRoCUCTHONSeGUIDINGLIGHTwwwANXIETYDIVERTINGNIGHTTIMEOOMFORTMONSTRESSeRODUCTIONGseereversefordetalsuINSTANTOLLABORATIVEPTUREMONTEmFREELOVECALENDERSTICKERSETINSIDEPleaseONEFULLYEAROFLOVEPAUNETA4EandonlyEETMBLESTALYST!CALENDERwww.MONINSPE12BONUSWILDCARDDAYSOvouseRoCUCTHONSe
FUAB_03_F.png,Technology Electronic device,ProductProduct designDesign,Moon-set Cordierokodieroo soan ancient site of typograaphy situated on a peninsuls  thet waonce mestioned within a TVshowin Matungs's dream in he elymosing of June 16  2012This hok is/ t of diot IkMaMoon-setCordierokodieroosoanancientsiteoftypograaphy situatedonapeninsuls thetwaoncemestionedwithinaTVshowinMatungs'sdreaminheelymosingofJune16 2012Thishokis/tofdiotIkMa
FUAB_04_F.png,Pink Magenta Circle Plate Oval,ProductCosmeticsProduct designLipsPetalPink MDesign,hvitho viatble emativesare fad to sn tean agenemefcnalMaay fundect 1960  iem men 7oreamalof th snswybr dcided to eplace drpport aeme e sretheteodnd ts coeunity and economic InterestsSELFel Sharonéer by aerreue peace tetheSTATEhvithoviatbleemativesarefadtosnteanagenemefcnalMaayfundect1960 iemmen7oreamalofthsnswybrdcidedtoeplacedrpportaemeesretheteodndtscoeunityandeconomicInterestsSELFelSharonéerbyaerreuepeacetetheSTATE
FUAB_05_F.png,Font Rectangle Wood Paper Paper product,Product designDesignProduct,ATYATY
FUAB_06_F.png,Triangle Technology Pyramid Font Electronic device Ipad Glass Rectangle Square Icon,TriangleAngleProduct designFontDesignProduct,
FUAB_07_F.png,Cartoon Illustration Picture frame Art,Artist's bookBookArtistMarket to Market: A Commuter DiaryArtLinocutLetterpress printingMary V. MarshPrintingCommuting,46MYALGUTwww.eTANK YwPemagsMonday  Dec 17 A very rainy orning  no bike today  I run downMarker to carch the C and my pas are wer Oh my. we aren t.CYEDon the bridge yet46MYALGUTwww.eTANKYwPemagsMonday Dec17Averyrainyorning nobiketoday IrundownMarkertocarchtheCandmypasarewerOhmy.wearent.CYEDonthebridgeyet
FUAB_08_F.png,Rectangle Cutting board Recipe Serveware Tableware,Living hingeBook CoversLaser engravingBookLaser cuttingEngravingBoxPrintingLetterpress printingCardboard box,LININGLINING
FUAB_09_F.png,Flag Rectangle Pattern Square,Place MatsRectangleProduct designPatternDesignFontProductRED.M,
FUAB_10_F.png,Circle Technology Target archery Spiral Electronic device Recreation Shooting sport,ABS-CBNTelevisionThe Filipino ChannelABS-CBNABS-CBN News ChannelLive televisionTelevision channel,
HIC_01_F.png,Plate Majorelle blue Platter Dishware Pattern Porcelain Tableware Circle Ceramic,Blue and white pottery18th centuryUnderglazeCobalt blueMiddle EastPorcelainArtCeramic & Pottery GlazesBlue,
HIC_02_F.png,Text Font,T-shirtShirtI Have The Body of a GodSpreadshirtGR8RedbubbleAdvertisingRoadDesignAmerican Apparel Men's Unisex Triblend Short-Sleeve Track T-Shirt TR401,BYSAHBAKUE HINDnAUCANA AHMED SAEED DEHCUIIDARA TALEEFAT-E-ASHRAFIAChowk Fawara  Multan  Pakistan Ph: 061-540513-519240E-mal Laeelaldnet pNTO I OF BLISBYSAHBAKUEHINDnAUCANAAHMEDSAEEDDEHCUIIDARATALEEFAT-E-ASHRAFIAChowkFawara Multan PakistanPh:061-540513-519240E-malLaeelaldnetpNTOIOFBLIS
HIC_03_F.png,Text Font,Muslim Tradition: Studies in Chronology  Provenance and Authorship of Early HadithStudies on the origins and uses of Islamic HadithHadithEncyclopedia of canonical ḥadīthBookSahih al-BukhariAuthorHistoryPublishingTafsir,aع لونت5مةة افعMuslim traditionأمsabا ویدانعا خهمت گهوان ورچ1تاه والارنی خ جمسادا موامتاوه عادم ولا دامبه صادمتن تا ا ا بوه دعسف عدوفس یعول ن ي اهيبعا ل لتمیی منخمن:يه وادولدونداامبه عق مرعی قا مکةل بلمدهل، هاو ي ود ا مق لاه تو يومه دا قلو ومد ياُن عااا لو لوعة داد صع دباا دای دى ن ه وغمدرعل امعزامراعهى: بجممحدن ما حماددن اسش ممويعاد تاندا لخطا د!مقك جتاي بونالوُم ح خوتعمام أد عیت وضآگان 3ن الو دموم جالاهاجد اانعانناماع خقا رلماحاولآشدخه الحعمالج ع ج اقاو نجممدای آزسوم معت ما تجه اما بنکامومة دبجقاطادبمbaعلونت5مةةافعMuslimtraditionأمsabاویدانعاخهمتگهوانورچ1تاهوالارنیخجمساداموامتاوهعادمولادامبهصادمتنتااابوهدعسفعدوفسیعولنياهيبعاللتمییمنخمن:يهوادولدونداامبهعقمرعیقامکةلبلمدهل،هاويودامقلاهتويومهداقلوومدياُنعااالولوعةدادصعدباادایدىنهوغمدرعلامعزامراعهى:بجممحدنماحماددناسشممويعادتاندالخطاد!مقكجتايبونالوُمحخوتعمامأدعیتوضآگان3نالودمومجالاهاجداانعانناماعخقارلماحاولآشدخهالحعمالجعجاقاونجممدایآزسوممعتماتجهامابنکامومةدبجقاطادبمb
HIC_04_F.png,Text Font,AbeBooksThe Sayings of MuhammadBookIn Search of Identity: An AutobiographyPoems from IqbalAmazon.comEditionInternational Standard Book NumberPublishing,have read SAbduilab Subrowardy'scollections of thesayings of the Prophet withmuch inrest and ptofit They are amongthebeasures of trankindFram the ForewordMahatra GandhTHE SAYINGS OFMUHAMMADBYALLAMA SIR ABDULLAHAL-MAMUN AL-SUHRAWARDYWITH FOREWORD BYMAHATMA GANDHIhavereadSAbduilabSubrowardy'scollectionsofthesayingsoftheProphetwithmuchinrestandptofitTheyareamongthebeasuresoftrankindFramtheForewordMahatraGandhTHESAYINGSOFMUHAMMADBYALLAMASIRABDULLAHAL-MAMUNAL-SUHRAWARDYWITHFOREWORDBYMAHATMAGANDHI
HIC_05_F.png,Text Notebook Technology Paper Electronic device Paper product,Font,بماسداوصنا ریـرااعاارو 2 هOXOCAOبماسداوصناریـرااعاارو2هOXOCAO
HIC_06_F.png,Font,Islamic Art: Architecture  Painting  Calligraphy  Ceramics  Glass  CarpetsIslamic artArtIslamic architectureArchitecturePaintingBookThe Islamic WorldCalligraphyWork of art,islamicartPRESTELLUCA MOZZATislamicartPRESTELLUCAMOZZAT
HPR_01_F.png,Botany Plant Rectangle Pattern Flower Wildflower Floral design,PetalPattern,
HPR_02_F.png,Stock photography,BibleHoly Bible: New King James VersionBible translationsGeneva Bible1611New English BibleReligious textGod's Word TranslationReligionAramaic language,тHEНOLYВ IBLE Conteyning the Old Teftament AND THE NE WNewly Tranflatad out of the Originaltongues:Gwrith the fermer Tranfiationsdingently compared and renujfed  by husMaitic pecrall Comandement.Apianalok ral a Chorker.rad inBarker Printerto theANNO DOM IóIтHEНOLYВIBLE ConteyningtheOldTeftament ANDTHENEWNewlyTranflatadoutoftheOriginaltongues:GwriththefermerTranfiationsdingentlycomparedandrenujfed byhusMaiticpecrallComandement.ApianalokralaChorker.radinBarkerPrintertotheANNODOMIóI
HPR_03_F.png,Text,Annual reportFontReport,The CholeraIn KalamazooBYROBERT C. KEDZIE  M.D.With a Historical Introduction ByWILLIS F. DUNBAR  PH.D.Edited ByALEXIS A. PRAUSKalamazoo Public MuseumPublicationKalamazoo  Michigan- 1961UNIVERSITY OF MICHIGANMEDICAL LIBRARYTheCholeraInKalamazooBYROBERTC.KEDZIE M.D.WithaHistoricalIntroductionByWILLISF.DUNBAR PH.D.EditedByALEXISA.PRAUSKalamazooPublicMuseumPublicationKalamazoo Michigan-1961UNIVERSITYOFMICHIGANMEDICALLIBRARY
HPR_04_F.png,Product Organism Liquid Perfume Fluid Book Bottle,Glass bottlePerfumeBottlePurpleFontGlassProduct,JAMES eWHORTONthe ArsenicCenturyHow Victorian Britain wasPoisoned at Home  Work  & PlayJAMESeWHORTONtheArsenicCenturyHowVictorianBritainwasPoisonedatHome Work &Play
HPR_05_F.png,Text Font,AdvertisingPurple,THE POLITICS OF SCIEHCEead warsAND THE FATE OF AMERICA'S CHILDREHGerald MarkonitzDavid RosnerTHEPOLITICSOFSCIEHCEeadwarsANDTHEFATEOFAMERICA'SCHILDREHGeraldMarkonitzDavidRosner
HPR_06_F.png,Poster Vintage advertisement,PosterAdvertising,CARYGRANTGrank CaprasARSENICOACERMNDMASSEY CARSONLANE LORREFRANK CAPRAWARNER BROSCARYGRANTGrankCaprasARSENICOACERMNDMASSEYCARSONLANELORREFRANKCAPRAWARNERBROS
HPR_07_F.png,Text History Font Art,Robert Chadwell WilliamsThe Forensic Historian: Using Science to Reexamine the PastForensic scienceScienceBookHistoryKobo Inc.ReadingHistorian,TheForensicHistorianUSING SCIENCETO REEXAMINETHE PASTTRE SE Toas ERALDTHE 7ITANC sKS WITH 800ON DOARD OY076  MO974YWOMEN AND OLDREN SAVEDRobert C. WilliamsTheForensicHistorianUSINGSCIENCETOREEXAMINETHEPASTTRESEToasERALDTHE7ITANCsKSWITH800ONDOARDOY076 MO974YWOMENANDOLDRENSAVEDRobertC.Williams
HPR_08_F.png,Text Font Parallel,PaperFontPurpleLineTechnologyBrand,MICHIGANHOUSEHOLDHAZARDOUSSUBSTANCEHANDBOOKPUBLISHED BY: The Ecology Center of Ann ArborIN COOPERATION WITH:The Michigan State Cooperative Extension ServiceThe Center for Environmental Internship ProgramsThe Michigan Environmental Health AssociationThe Charles Stewart Mctt Foundationus seTENT or toucatPERMSSION TO REPRODUCE THISMATAL HAS BEEN GRANTED BYtoucanONAL SOURCES ORanONcNTERCVethrdroeTO THE EDUCATIONAL RESOURCESOER n tINFORMATION CENTER ERCCOOPERATIVEEXTENEONSERVICEMichigan Sue UnbenityFRICBEST COPY AVAILABLEE D2867 17MICHIGANHOUSEHOLDHAZARDOUSSUBSTANCEHANDBOOKPUBLISHEDBY:TheEcologyCenterofAnnArborINCOOPERATIONWITH:TheMichiganStateCooperativeExtensionServiceTheCenterforEnvironmentalInternshipProgramsTheMichiganEnvironmentalHealthAssociationTheCharlesStewartMcttFoundationusseTENTortoucatPERMSSIONTOREPRODUCETHISMATALHASBEENGRANTEDBYtoucanONALSOURCESORanONcNTERCVethrdroeTOTHEEDUCATIONALRESOURCESOERntINFORMATIONCENTERERCCOOPERATIVEEXTENEONSERVICEMichiganSueUnbenityFRICBESTCOPYAVAILABLEED286717
IRC_01_F.png,Cobalt blue Plate Porcelain Dishware Font Tableware Blue and white porcelain Circle Pattern,Blue and white potteryCobalt bluePorcelainBlueProductFontCobalt,
IRC_02_F.png,Illustration Nativity scene Circle Art,Font,
IRC_03_F.png,Metal,Italian Renaissance MaiolicaElisa Paola SaniRenaissanceMaiolicaVictoria and Albert MuseumMaiolica Before Raphael: Italian Ceramics Before 1500DerutaAmazon.com,ITALIANRENAISSANCEMAIOLICAESASANTELITALIANRENAISSANCEMAIOLICAESASANTEL
IRC_04_F.png,World Illustration History Square Map,Ceramic Art of the Italian RenaissanceItalian RenaissanceCeramiceBayFontArtCollaborationCeramic artConfidence,CERAMICART OF THE ITALIANRENAISSANCETIMOTHY WILSONCERAMICARTOFTHEITALIANRENAISSANCETIMOTHYWILSON
KAG_01_F.png,Artifact Rock Font,Artifact MJawFossil Group,
KAG_02_F.png,Rock Food,,
KAG_03_F.png,Rock Rectangle Square Gemstone,Font,
